alpha,CL,CD
-4.04,-0.4417,0.00871
-2.14,-0.2385,0.008
-0.05,-0.0126,0.00809
2.05,0.2125,0.00816
4.04,0.4316,0.00823
6.09,0.6546,0.00885
8.3,0.8873,0.0105
10.12,1.0707,0.01201
11.13,1.1685,0.01239
12.12,1.2605,0.01332
13.08,1.3455,0.01503
14.22,1.4365,0.01625
15.26,1.5129,0.019
16.3,1.5739,0.02218
17.13,1.6116,0.0256
18.02,0.9967,0.18785
19.08,1.1358,0.27292
-4.01,-0.4466,0.00843
-2.12,-0.2425,0.00789
-0.01,-0.012,0.00811
0.01,-0.0122,0.00804
2.15,0.2236,0.00823
4.11,0.4397,0.00879
6.01,0.6487,0.00842
8.08,0.8701,0.00995
10.1,1.0775,0.01175
11.23,1.1849,0.01248
12.13,1.272,0.01282
13.26,1.3699,0.01408
14.3,1.4571,0.01628
15.27,1.528,0.0179
16.16,1.5838,0.02093
17.24,1.6347,0.02519
18.18,1.1886,0.25194
19.25,1.1888,0.28015
-3.99,-0.4363,0.00871
-1.98,-0.2213,0.00792
-0.03,-0.0115,0.00803
0.04,-0.0013,0.00811
2.0,0.2213,0.00814
4.06,0.4365,0.00814
6.09,0.6558,0.00851
8.09,0.8689,0.00985
10.18,1.0809,0.01165
11.13,1.1731,0.01247
12.1,1.2644,0.01299
13.31,1.3676,0.01408
14.08,1.4316,0.01533
15.24,1.5169,0.0187
16.33,1.5855,0.02186
17.13,1.6219,0.02513
18.21,1.0104,0.25899
19.27,1.0664,0.43446
