x_c,Cf
-0.07,0.00123
-0.06,0.00106
-0.05,0.00096
-0.04,0.00085
-0.03,0.00072
-0.02,0.00056
-0.01,0.00044
0.0,0.00035
0.01,0.00055
0.02,0.00078
0.03,0.00106
0.07,0.00351
0.08,0.00393
0.09,0.00447
0.1,0.00483
0.11,0.00444
0.12,0.00435
0.13,0.00444
0.14,0.00443
0.15,0.00468
0.16,0.00499
0.17,0.00483
0.18,0.0047
0.19,0.00466
0.2,0.00467
0.21,0.00484
0.3,0.0061
0.31,0.00621
0.32,0.00614
0.33,0.00619
0.34,0.00618
0.35,0.00624
0.36,0.00622
0.37,0.00628
0.38,0.00627
0.39,0.00659
0.4,0.00662
0.41,0.00653
0.42,0.00647
0.43,0.00653
0.44,0.00655
0.45,0.00653
0.46,0.0065
0.47,0.00658
0.48,0.00653
0.49,0.00616
0.5,0.00618
0.51,0.00624
0.52,0.00627
0.53,0.00634
0.54,0.00633
0.55,0.00634
0.56,0.00629
0.57,0.0062
0.59,0.00557
0.6,0.00536
0.61,0.00521
0.62,0.00505
0.75,-0.00016
0.76,-0.00016
0.78,-0.00022
0.79,-0.00025
0.8,-0.00033
0.81,-0.00038
0.82,-0.00046
0.83,-0.00055
0.84,-0.00063
0.85,-0.00071
0.86,-0.00078
0.87,-0.00089
0.88,-0.00099
0.89,-0.00108
0.9,-0.00123
0.91,-0.00129
0.92,-0.00136
0.93,-0.00139
0.94,-0.00138
0.95,-0.00144
0.96,-0.00144
0.97,-0.00146
0.98,-0.00146
0.99,-0.0014
1.0,-0.00135
1.01,-0.00125
1.02,-0.00118
1.03,-0.00109
1.04,-0.00096
1.05,-0.00083
1.06,-0.00073
1.07,-0.00061
1.08,-0.00048
1.09,-0.00038
1.15,0.00049
1.16,0.00061
1.17,0.00073
1.18,0.00074
1.19,0.00081
1.2,0.0009
1.21,0.00098
1.22,0.00104
1.23,0.00113
1.24,0.00119
1.25,0.00127
1.26,0.00136
1.27,0.00139
1.28,0.00144
1.29,0.00151
1.3,0.00151
1.31,0.00157
1.32,0.00159
1.33,0.00165
1.34,0.00169
1.35,0.00174
1.36,0.00178
1.37,0.00183
1.38,0.00187
1.39,0.00191
1.4,0.00195
1.41,0.00197
1.42,0.00198
1.43,0.00202
1.44,0.00207
1.45,0.00208
1.46,0.00212
1.47,0.00211
1.48,0.00214
1.49,0.00216
1.5,0.00218
1.51,0.00219
1.52,0.00222
1.53,0.00225
1.54,0.00224
1.55,0.00223
1.56,0.00228
1.57,0.00223
