x_c,Cp
-0.80454,-0.0132
-0.74239,-0.0102
-0.67907,-0.0091
-0.61762,-0.0062
-0.55646,-0.0012
-0.49366,0.006
-0.46311,0.0088
-0.4319,0.0135
-0.40088,0.0189
-0.36953,0.0263
-0.33927,0.0335
-0.30847,0.0426
-0.27634,0.0538
-0.2462,0.066
-0.21497,0.0811
-0.18383,0.0992
-0.15376,0.1191
-0.12212,0.1447
-0.09025,0.1739
-0.04586,0.2257
-0.03151,0.2442
-0.01647,0.2649
-0.00189,0.2868
0.01228,0.3039
0.02711,0.3084
0.04168,0.2965
0.05692,0.2586
0.07094,0.1842
0.08573,0.0728
0.10021,-0.0623
0.11471,-0.1726
0.12876,-0.2504
0.15859,-0.3869
0.17271,-0.4647
0.18734,-0.5173
0.20189,-0.5604
0.21721,-0.5963
0.23077,-0.6202
0.24591,-0.641
0.26072,-0.6602
0.2747,-0.6786
0.28942,-0.6915
0.30461,-0.708
0.31883,-0.7221
0.33324,-0.7372
0.34839,-0.7557
0.36408,-0.7578
0.37742,-0.7796
0.39194,-0.7905
0.40639,-0.8021
0.42087,-0.8173
0.43579,-0.8296
0.45041,-0.8378
0.46499,-0.8453
0.47875,-0.8724
0.49411,-0.862
0.5085,-0.8483
0.523,-0.85
0.53709,-0.8491
0.55199,-0.8507
0.56632,-0.8448
0.58108,-0.8362
0.59548,-0.8198
0.61061,-0.7949
0.62486,-0.7727
0.63962,-0.7061
0.6586,-0.5149
0.67319,-0.4182
0.68732,-0.4138
0.70193,-0.4108
0.71624,-0.4155
0.7302,-0.4249
0.74487,-0.4303
0.75879,-0.4284
0.77255,-0.4303
0.78691,-0.437
0.80177,-0.438
0.8159,-0.4473
0.83063,-0.4508
0.84434,-0.4572
0.85921,-0.457
0.87351,-0.4612
0.88825,-0.4508
0.90239,-0.4482
0.91668,-0.4318
0.93107,-0.4231
0.94509,-0.4084
0.95991,-0.3837
0.97394,-0.3624
0.9884,-0.3371
1.0031,-0.3011
1.0175,-0.2667
1.0315,-0.2427
1.0458,-0.2026
1.0944,-0.1318
1.1269,-0.0986
1.16,-0.0883
1.193,-0.0544
1.226,-0.0422
1.26,-0.0401
1.2938,-0.0377
1.3267,-0.0407
1.3596,-0.0432
1.3926,-0.0432
1.4266,-0.0533
1.4597,-0.0564
1.4931,-0.0597
1.5268,-0.064
1.5593,-0.0662
1.5933,-0.0684
1.6265,-0.0736
1.6594,-0.0763
1.6927,-0.0769
1.7258,-0.0797
1.7594,-0.0802
1.7923,-0.0821
1.8259,-0.0788
1.859,-0.0786
1.8926,-0.0817
1.9254,-0.0809
1.9588,-0.0816
1.9918,-0.0796
2.0248,-0.0783
2.0582,-0.0769
2.0922,-0.0744
2.125,-0.0701
